data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,02,TPRC6,010,TELEPAR CL,PNB*,R$,63.0,65.0,63.0,64.15,65.0,62.8,65.0,7,120000,7698.7
20030212,02,RAPT4,010,RANDON PART,PN *    N1,R$,1.05,1.09,1.04,1.04,1.06,1.05,1.09,14,335200000,351818.0
20030212,02,SAPR4,010,SANEPAR,PN,R$,1.4,1.44,1.4,1.42,1.44,1.4,1.45,3,4000,5680.0
20030212,02,CEEB3,010,COELBA,ON *,R$,41.51,42.0,41.51,41.55,42.0,41.5,42.0,2,1200000,49861.0
20030212,02,JBDU3,010,J B DUARTE,ON *,R$,0.15,0.15,0.14,0.14,0.14,0.14,0.2,2,1700000,248.0
20030212,02,GGBR3,010,GERDAU,ON *    N1,R$,24.0,24.0,24.0,24.0,24.0,24.0,25.0,1,500000,12000.0
20030212,02,PQUN4,010,PETROQ UNIAO,PN,R$,6.6,6.6,6.6,6.6,6.6,6.35,0.0,3,24000,158400.0
20030212,02,CNFB4,010,CONFAB,PN,R$,3.79,3.79,3.65,3.7,3.69,3.66,3.7,46,222000,823320.0
20030212,02,PLTO5,010,POLITENO,PNA*,R$,2.99,2.99,2.99,2.99,2.99,2.5,2.97,1,1400000,4186.0
20030212,02,EBCO4,010,EMBRACO,PN,R$,1.51,1.51,1.51,1.51,1.51,1.52,1.6,2,5000,7550.0
20030212,10,BBDC2,010,BRADESCO,DIR*PRE N1,R$,2.1,2.3,2.1,2.17,2.25,2.25,2.27,115,368300000,800490.0
20030212,96,BBDC1F,020,BRADESCO,DIR*ORD N1,R$,0.65,0.71,0.61,0.66,0.61,0.0,0.61,22,568507,373.02
20030212,10,BBDC1,010,BRADESCO,DIR*ORD N1,R$,0.65,0.8,0.65,0.74,0.7,0.7,0.9,30,93300000,69336.0
20030212,02,ROMI3,010,INDS ROMI,ON *,R$,26.73,26.73,26.73,26.73,26.73,27.0,30.0,1,100000,2673.0
20030212,14,UBBR11,010,UNIBANCO,UNT*    N1,R$,82.2,84.6,82.0,83.29,83.5,83.5,84.5,34,17800000,1482699.0
20030212,02,UBBR4,010,UNIBANCO,PN *    N1,R$,34.4,34.5,33.7,33.97,34.0,33.3,33.99,7,1100000,37380.0
20030212,14,TEFC11,010,TELEFONICA,BDR,R$,34.0,34.0,34.0,34.0,34.0,33.5,34.5,1,100,3400.0
20030212,02,BRGE11,010,ALFA CONSORC,PNE,R$,1.91,1.91,1.9,1.9,1.9,1.72,0.0,2,2000,3810.0
20030212,02,ITAU3,010,ITAUBANCO,ON *EJ  N1,R$,150.0,150.0,150.0,150.0,150.0,150.01,152.0,1,10000,1500.0
20030212,02,ITAU4,010,ITAUBANCO,PN *EJ  N1,R$,157.3,161.3,157.3,159.92,160.0,160.0,161.2,340,82240000,13152511.5
20030212,02,RPAD6,010,ALFA HOLDING,PNB,R$,1.55,1.55,1.55,1.55,1.55,1.53,0.0,2,3000,4650.0
20030212,02,BBDC4,010,BRADESCO,PN *EJ  N1,R$,9.75,9.89,9.67,9.79,9.8,9.8,9.86,602,2112100000,20692944.0
20030212,02,BBDC3,010,BRADESCO,ON *EJ  N1,R$,8.4,8.5,8.35,8.4,8.35,8.3,8.35,48,58800000,494011.0
20030212,96,PETR4F,020,PETROBRAS,PN,R$,46.5,47.05,46.0,46.47,47.05,46.81,47.1,71,2217,103039.28
20030212,02,BMCT4,010,MERC S PAULO,PN *ED,R$,115.0,115.0,115.0,115.0,115.0,92.02,114.0,1,150000,17250.0
20030212,02,BRTO4,010,BRASIL TELEC,PN *EJ  N1,R$,10.0,10.08,9.8,9.89,9.8,9.8,9.85,393,2074400000,20531009.0
20030212,02,BRTO3,010,BRASIL TELEC,ON *EJ  N1,R$,9.7,9.7,9.51,9.62,9.51,9.51,0.0,3,500000,4812.0
20030212,02,BRTP4,010,BRASIL T PAR,PN *EJ  N1,R$,17.1,17.54,17.0,17.33,17.21,17.21,17.43,271,454000000,7871223.0
20030212,02,BRTP3,010,BRASIL T PAR,ON *EJ  N1,R$,13.2,13.31,12.5,13.21,12.5,12.5,14.0,156,184300000,2436033.0
20030212,02,RCTB42,010,TELES RCTB,R42*EJ,R$,61.6,61.8,60.7,61.38,61.3,0.0,0.0,11,1100000,67525.0
20030212,02,SDIA4,010,SADIA S/A,PN  EJ  N1,R$,1.19,1.21,1.19,1.19,1.19,1.19,1.21,66,1055000,1260690.0
20030212,96,AMBV3F,020,AMBEV,ON *,R$,420.0,431.0,420.0,430.36,431.0,420.0,450.0,4,8798,3786.33
20030212,02,AMBV3,010,AMBEV,ON *,R$,431.0,431.0,431.0,431.0,431.0,431.0,460.0,1,210000,90510.0
20030212,96,ALPA4F,020,ALPARGATAS,PN *,R$,112.0,112.0,112.0,112.0,112.0,110.0,128.0,1,686,76.83
20030212,96,AELP3F,020,AES ELPA,ON *,R$,2.93,3.1,2.93,2.99,2.93,2.93,3.0,8,137196,410.94
20030212,02,AELP3,010,AES ELPA,ON *,R$,3.0,3.0,3.0,3.0,3.0,2.96,3.15,1,5000000,15000.0
20030212,96,ACES4F,020,ACESITA,PN *,R$,0.99,1.01,0.98,0.99,1.01,1.0,1.02,19,379681,379.13
20030212,02,ACES4,010,ACESITA,PN *,R$,0.98,1.02,0.98,1.0,1.02,1.01,1.02,367,4789800000,4798410.0
20030212,96,ACES3F,020,ACESITA,ON *,R$,1.02,1.02,1.02,1.02,1.02,0.83,1.02,1,4,0.0
20030212,02,ACES3,010,ACESITA,ON *,R$,0.81,0.84,0.81,0.81,0.84,0.83,0.84,20,119700000,97871.0
20030212,96,ARCZ6F,020,ARACRUZ,PNB     N1,R$,6.8,7.05,6.8,6.97,7.05,7.0,7.11,9,2441,17022.2
20030212,02,ARCZ6,010,ARACRUZ,PNB     N1,R$,6.94,7.19,6.88,6.99,7.04,7.04,7.14,103,303000,2119270.0
20030212,96,AMBV4F,020,AMBEV,PN *,R$,478.0,490.0,476.0,479.5,479.8,479.8,495.0,18,56988,27326.21
20030212,02,AMBV4,010,AMBEV,PN *,R$,481.0,484.9,477.98,479.97,479.1,479.1,495.0,173,18400000,8831561.6
20030212,02,ASTA4,010,SANTISTEXTIL,PN *,R$,330.0,330.0,330.0,330.0,330.0,325.0,335.0,3,130000,42900.0
20030212,02,BDLL4,010,BARDELLA,PN,R$,43.2,43.2,42.01,43.18,42.01,42.01,42.9,6,229,9888.42
20030212,02,BCAL6,010,BIC CALOI,PNB*,R$,0.06,0.07,0.06,0.06,0.07,0.06,0.07,3,40000000,2500.0
20030212,96,BBDC2F,020,BRADESCO,DIR*PRE N1,R$,2.05,2.31,2.03,2.13,2.2,2.2,2.25,112,2659309,5696.87
20030212,96,BBDC4F,020,BRADESCO,PN *EJ  N1,R$,9.51,9.98,9.51,9.78,9.98,9.8,10.0,89,1732669,16948.31
20030212,96,BBDC3F,020,BRADESCO,ON *EJ  N1,R$,8.3,8.6,8.3,8.38,8.6,8.2,8.6,17,239115,2005.42
20030212,96,BBAS13F,020,BRASIL,BNS*C,R$,0.87,0.9,0.87,0.88,0.89,0.87,1.0,6,168394,148.52
20030212,22,BBAS13,010,BRASIL,BNS*C,R$,0.88,0.9,0.88,0.88,0.88,0.88,0.9,7,5700000,5066.0
20030212,96,BBAS12F,020,BRASIL,BNS*B,R$,0.57,0.57,0.56,0.56,0.57,0.56,0.99,8,274957,156.25
20030212,22,BBAS12,010,BRASIL,BNS*B,R$,0.58,0.58,0.57,0.57,0.57,0.56,0.59,7,3400000,1948.0
